Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
443,120438,8,3,521,3749,201,0,65.125,79.2039636454,3743,0,1249.6666666667,2159.2920907866,35453.9265016025,91.3333001212,12043.8,14608.9115405632,37322,3,120438,17205.4285714286,15589.5359654817,38421,3,38887,19443.5,24634.8931497581,36863,2024,0,0,0,0,172,72,66.42421827,24.9090818512,0,3743,355.8333333333,1068.9212772556,1142592.6969697,0,0,0,1,0,0,0,0,0,388.1818181818,65.125,1249.6666666667,172,0,0,0,0,0,0,8,521,3,3749,8192,343,7,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,214,2,2,78,204,39,39,39.0,0.0,102,102,102.0,0.0,1317757.00934579,18691.5887850467,71.3333333333,121.820906799,212,1,1,1.0,0.0,1,1,1,1.0,0.0,1,1,0,0,0,0,40,40,9345.7943925234,9345.7943925234,39,102,64.2,34.5065211228,1190.7,0,0,0,0,0,0,0,0,1,80.25,39.0,102.0,40,0,0,0,0,0,0,2,78,2,204,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
45480,7641,3,1,38,6,38,0,12.6666666667,21.9393102292,6,6,6.0,0.0,5758.4085852637,523.4916895694,2547.0,4353.6096517717,7574,4,7641,3820.5,5397.3460607969,7637,4,0,0.0,0.0,0,0,1,0,0,0,96,20,392.6187671771,130.8729223924,0,38,16.4,19.8695747312,394.8,0,1,0,0,1,0,0,0,0,20.5,12.6666666667,6.0,96,0,0,0,0,0,0,3,38,1,6,349,0,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
49022,2167,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,5537.6095985233,922.9349330872,2167.0,0.0,2167,2167,2167,2167.0,0.0,2167,2167,0,0.0,0.0,0,0,0,0,0,0,40,0,922.9349330872,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,0,2,12,0,0,30,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,3331979,4,0,24,0,6,6,6.0,0.0,0,0,0.0,0.0,7.202926549,1.200487758,1110659.667,1922815.779,3330936,1,3331979,1110659.667,1922815.779,3330936,1,0,0.0,0.0,0,0,0,0,0,0,80,0,1.200487758,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.5,6.0,0.0,80,0,0,0,0,0,0,4,24,0,0,256,-1,3,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
20005,46,1,1,0,6,0,0,0.0,0.0,6,6,6.0,0.0,130434.7826,43478.26087,46.0,0.0,46,46,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,40,20,21739.13043,21739.13043,0,6,2.0,3.464101615,12.0,0,0,0,1,0,0,0,0,1,3.0,0.0,6.0,40,0,0,0,0,0,0,1,0,1,6,29200,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0,PortScan
53,31511,2,2,66,228,33,33,33.0,0.0,114,114,114.0,0.0,9330.0752118308,126.9397988004,10503.6666666667,18152.1963501206,31464,0,0,0.0,0.0,0,0,47,47.0,0.0,47,47,0,0,0,0,80,64,63.4698994002,63.4698994002,33,114,65.4,44.3655271579,1968.3,0,0,0,0,0,0,0,0,1,81.75,33.0,114.0,80,0,0,0,0,0,0,2,66,2,228,-1,-1,1,40,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,116218947,3,3,169,345,67,47,56.3333333333,10.0664459137,157,79,115.0,39.3446311458,4.4226867758,0.0516266939,23243789.4,51904733.2488442,116093789,1799,116157516,58078758.0,82133223.0791862,116155717,1799,116169998,58084999.0,82123694.1082029,116155220,14778,0,0,0,0,72,72,0.0258133469,0.0258133469,47,157,81.2857142857,39.3010359733,1544.5714285714,0,0,0,0,0,0,0,0,1,94.8333333333,56.3333333333,115.0,72,0,0,0,0,0,0,3,169,3,345,-1,-1,2,20,63727.0,0.0,63727,63727,116093789.0,0.0,116093789,116093789,BENIGN
22,132,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,15151.5151515152,132.0,0.0,132,132,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,7575.7575757576,7575.7575757576,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,290,243,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
64539,51,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,235294.117647059,39215.6862745098,51.0,0.0,51,51,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,19607.8431372549,19607.8431372549,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,6,913,256,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
3517,25,1,1,0,6,0,0,0.0,0.0,6,6,6.0,0.0,240000.0,80000.0,25.0,0.0,25,25,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,40,20,40000.0,40000.0,0,6,2.0,3.464101615,12.0,0,0,0,1,0,0,0,0,1,3.0,0.0,6.0,40,0,0,0,0,0,0,1,0,1,6,29200,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0,PortScan
53,30539,1,1,49,77,49,49,49.0,0.0,77,77,77.0,0.0,4125.871836013,65.4900291431,30539.0,0.0,30539,30539,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,20,32.7450145715,32.7450145715,49,77,58.3333333333,16.1658075373,261.3333333333,0,0,0,0,0,0,0,0,1,87.5,49.0,77.0,32,0,0,0,0,0,0,1,49,1,77,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
21,274,2,1,14,0,14,0,7.0,9.899494937,0,0,0.0,0.0,51094.89051,10948.90511,137.0,147.0782105,241,33,274,274.0,0.0,274,274,0,0.0,0.0,0,0,1,0,0,0,64,20,7299.270073,3649.635036,0,14,7.0,8.082903769,65.33333333,0,1,0,0,1,0,0,0,0,9.333333333,7.0,0.0,64,0,0,0,0,0,0,2,14,1,0,229,0,0,32,0.0,0.0,0,0,0.0,0.0,0,0,FTP-Patator
80,8710256,4,4,383,370,383,0,95.75,191.5,370,0,92.5,185.0,86.44981273,0.918457506,1244322.286,2156756.424,5000812,155,3709444,1236481.333,2139296.415,3706728,905,8710091,2903363.667,2595305.342,5001331,1137,0,0,0,0,136,136,0.459228753,0.459228753,0,383,83.66666667,166.0527025,27573.5,0,0,0,1,0,0,0,0,1,94.125,95.75,92.5,136,0,0,0,0,0,0,4,383,4,370,29200,235,1,32,0.0,0.0,0,0,0.0,0.0,0,0,Web Attack � Brute Force
1862,49,1,1,0,6,0,0,0.0,0.0,6,6,6.0,0.0,122448.9796,40816.32653,49.0,0.0,49,49,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,40,20,20408.16327,20408.16327,0,6,2.0,3.464101615,12.0,0,0,0,1,0,0,0,0,1,3.0,0.0,6.0,40,0,0,0,0,0,0,1,0,1,6,29200,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0,PortScan
80,34211722,203,104,43951,72194,602,0,216.5073892,228.6511756,1068,0,694.1730769,362.6624963,3394.889038,8.973532522,111803.0131,297628.3717,2524463,4,34200000,169347.8317,353095.2615,2524463,693,34200000,332151.7087,461354.1705,2525130,4,0,0,0,0,6504,3336,5.933638769,3.039893753,0,1068,377.0941558,360.6954117,130101.18,0,0,0,1,0,0,0,0,0,378.3224756,216.5073892,694.1730769,6504,0,0,0,0,0,0,203,43951,104,72194,29200,1174,101,32,0.0,0.0,0,0,0.0,0.0,0,0,Web Attack � Brute Force
80,9927418,4,0,24,0,6,6,6.0,0.0,0,0,0.0,0.0,2.41754704,0.402924507,3309139.333,5730986.907,9926713,272,9927418,3309139.333,5730986.907,9926713,272,0,0.0,0.0,0,0,0,0,0,0,80,0,0.402924507,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.5,6.0,0.0,80,0,0,0,0,0,0,4,24,0,0,256,-1,3,20,705.0,0.0,705,705,9926713.0,0.0,9926713,9926713,DDoS
80,38057,3,5,26,11601,20,0,8.666666667,10.26320288,7300,0,2320.2,3022.508098,305515.4111,210.2109993,5436.714286,8835.491775,19581,87,19782,9891.0,13826.766,19668,114,37970,9492.5,10415.25562,19850,143,0,0,0,0,72,112,78.82912473,131.3818746,0,7300,1291.888889,2460.652985,6054813.111,0,0,0,1,0,0,0,0,1,1453.375,8.666666667,2320.2,72,0,0,0,0,0,0,3,26,5,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
80,115271628,17,15,1027,1438,571,0,60.4117647059,158.6832768534,1184,0,95.8666666667,307.7034441208,21.384273327,0.277605171,3718439.61290323,4811372.4695649,10014977,108,115271628,7204476.75,4467328.09066537,10046845,108,110598973,7899926.64285714,4260653.09912473,10047355,545,0,0,0,0,352,444,0.1474777471,0.1301274239,0,1184,74.696969697,233.465533437,54506.1553030303,0,0,0,1,0,0,0,0,0,77.03125,60.4117647059,95.8666666667,352,0,0,0,0,0,0,17,1027,15,1438,8192,982,16,20,47416.6363636364,51020.8499385746,201250,31868,10007057.3636364,16558.0138982472,10014977,9960879,BENIGN
80,665187,3,4,26,11601,20,0,8.666666667,10.26320288,8760,0,2900.25,4128.319301,17479.2953,10.52335659,110864.5,261955.4355,645363,147,19186,9593.0,13293.60749,18993,193,665040,221680.0,367047.3666,645363,179,0,0,0,0,72,92,4.510009967,6.013346623,0,8760,1453.375,3113.952607,9696700.839,0,0,0,1,0,0,0,0,1,1661.0,8.666666667,2900.25,72,0,0,0,0,0,0,3,26,4,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
443,547964,10,6,1136,1167,885,0,113.6,275.3612576639,1029,0,194.5,412.5296352991,4202.8308429021,29.1989984744,36530.9333333333,65613.4764418176,237101,48,547964,60884.8888888889,118918.058742611,362158,48,452099,90419.8,89777.5414633304,237101,454,0,0,0,0,332,200,18.2493740465,10.9496244279,0,1029,135.4705882353,313.9825070062,98585.0147058823,0,0,0,1,0,0,0,0,0,143.9375,113.6,194.5,332,0,0,0,0,0,0,10,1136,6,1167,65535,116,5,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
14238,53,1,1,2,6,2,2,2.0,0.0,6,6,6.0,0.0,150943.3962,37735.84906,53.0,0.0,53,53,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,24,20,18867.92453,18867.92453,2,6,3.333333333,2.309401077,5.333333333,0,0,0,1,0,0,0,0,1,5.0,2.0,6.0,24,0,0,0,0,0,0,1,2,1,6,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0,PortScan
80,5732184,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.697814306,1910728.0,3308682.979,5731266,147,5732184,2866092.0,4051967.929,5731266,918,0,0.0,0.0,0,0,0,0,0,0,104,40,0.52336073,0.174453577,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0.0,0.0,0,0,0.0,0.0,0,0,Web Attack � Brute Force
6005,55,1,1,0,6,0,0,0.0,0.0,6,6,6.0,0.0,109090.9091,36363.63636,55.0,0.0,55,55,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,40,20,18181.81818,18181.81818,0,6,2.0,3.464101615,12.0,0,0,0,1,0,0,0,0,1,3.0,0.0,6.0,40,0,0,0,0,0,0,1,0,1,6,29200,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0,PortScan
53,281,2,2,84,204,42,42,42.0,0.0,102,102,102.0,0.0,1024911.03202847,14234.8754448399,93.6666666667,78.2325592917,184,48,48,48.0,0.0,48,48,49,49.0,0.0,49,49,0,0,0,0,80,80,7117.4377224199,7117.4377224199,42,102,66.0,32.8633534503,1080.0,0,0,0,0,0,0,0,0,1,82.5,42.0,102.0,80,0,0,0,0,0,0,2,84,2,204,-1,-1,1,40,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,20180,3,4,26,11601,20,0,8.666666667,10.26320288,8760,0,2900.25,4128.319301,576164.5193,346.8780971,3363.333333,7661.652763,18996,4,19021,9510.5,13444.22123,19017,4,20159,6719.666667,10976.39396,19392,183,0,0,0,0,72,92,148.6620416,198.2160555,0,8760,1453.375,3113.952607,9696700.839,0,0,0,1,0,0,0,0,1,1661.0,8.666666667,2900.25,72,0,0,0,0,0,0,3,26,4,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
53,227,2,2,62,190,31,31,31.0,0.0,95,95,95.0,0.0,1110132.15859031,17621.1453744493,75.6666666667,125.8623586833,221,3,3,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0,0,0,64,64,8810.5726872247,8810.5726872247,31,95,56.6,35.0542436803,1228.8,0,0,0,0,0,0,0,0,1,70.75,31.0,95.0,64,0,0,0,0,0,0,2,62,2,190,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,210053,6,4,1428,863,891,0,238.0,385.3273932645,863,0,215.75,431.5,10906.771148234,47.6070325108,23339.2222222222,28364.246772027,70725,70,210053,42010.6,47631.5336442152,116746,372,163342,54447.3333333333,14099.7636268603,70725,46023,0,0,0,0,204,136,28.5642195065,19.0428130043,0,891,208.2727272727,367.4052506182,134986.618181818,0,0,0,1,0,0,0,0,0,229.1,238.0,215.75,204,0,0,0,0,0,0,6,1428,4,863,65535,243,2,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,5241894,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.763082962,1747298.0,3025641.629,5241008,141,5241894,2620947.0,3705325.8,5241008,886,0,0.0,0.0,0,0,0,0,0,0,104,40,0.572312221,0.19077074,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0.0,0.0,0,0,0.0,0.0,0,0,Web Attack � XSS
80,575663,3,6,26,11607,20,0,8.666666667,10.26320288,4380,0,1934.5,2177.344966,20208.00364,15.63414706,71957.875,203161.1893,574756,3,795,397.5,252.4371209,576,219,575587,115117.4,256945.9906,574756,3,0,0,0,0,72,132,5.211382354,10.42276471,0,4380,1163.3,1903.962654,3625073.789,0,0,0,1,0,0,0,0,2,1292.555556,8.666666667,1934.5,72,0,0,0,0,0,0,3,26,6,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
5101,55,1,1,0,6,0,0,0.0,0.0,6,6,6.0,0.0,109090.9091,36363.63636,55.0,0.0,55,55,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,40,20,18181.81818,18181.81818,0,6,2.0,3.464101615,12.0,0,0,0,1,0,0,0,0,1,3.0,0.0,6.0,40,0,0,0,0,0,0,1,0,1,6,29200,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0,PortScan
1046,44,1,1,0,6,0,0,0.0,0.0,6,6,6.0,0.0,136363.6364,45454.54545,44.0,0.0,44,44,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,40,20,22727.27273,22727.27273,0,6,2.0,3.464101615,12.0,0,0,0,1,0,0,0,0,1,3.0,0.0,6.0,40,0,0,0,0,0,0,1,0,1,6,29200,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0,PortScan
1042,49,1,1,0,6,0,0,0.0,0.0,6,6,6.0,0.0,122448.9796,40816.32653,49.0,0.0,49,49,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,40,20,20408.16327,20408.16327,0,6,2.0,3.464101615,12.0,0,0,0,1,0,0,0,0,1,3.0,0.0,6.0,40,0,0,0,0,0,0,1,0,1,6,29200,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0,PortScan
